age,income,credit_score,debt_ratio,loan_amount,loan_approved
56,25903.30519613641,400,0.2824724263700037,15759.388048069699,0
69,53051.954538008344,431,0.4252281854376939,21274.05971734585,0
46,38654.73882073545,680,0.03757109039890738,13839.353407257728,0
32,28666.19435603489,431,0.12786680122241756,20823.074951551782,0
60,40301.4067363621,319,0.7655467505158609,18661.172535663267,0
25,33776.779945784074,835,1.1634755366141114e-05,13933.038906964257,0
38,75307.12452608848,526,0.4165658284822922,18273.383087411567,0
56,63224.59635424176,453,0.5225101810855884,12633.674765834756,0
36,49880.41038025074,768,0.054634420000972295,26751.029000028608,1
40,72199.16208335038,704,0.9730781629723328,1678.3383946277645,0
28,51160.524614714275,501,0.22612533124967193,18364.716022475197,0
28,37080.73698007604,337,0.30419871963628087,6177.020453614765,0
41,72846.86115904486,487,0.30394251225502733,13871.716483909657,0
53,58083.65065526988,356,0.2304166621173499,14571.95955264377,0
57,34441.30768510315,319,0.001473822086311416,22538.16779456842,0
41,47144.91982874588,572,0.7293447940879964,11539.238939615549,0
20,36865.726199228644,418,0.9668454997992854,21540.05957830889,0
39,29258.00403553496,815,0.22429348328504506,9105.916798876016,0
19,63892.66321297462,520,0.6630471918034224,21733.34861877433,0
41,78641.24960705196,825,0.7418963269587151,12628.272790482635,0
61,29021.486392712883,814,0.8484253790905247,15367.172596205593,0
47,58444.538550358564,635,0.4226291970136091,13318.10668444798,0
55,40240.361463172594,354,0.30293090564042924,21411.81737057802,0
19,42693.11924352956,799,0.3252951340230311,20438.699216168738,1
38,41114.09113641696,835,0.7126213330985128,17217.508602922626,0
50,37040.138454802756,461,0.816779466505636,9240.65807706613,0
29,50727.82441917241,458,0.18161396775660266,11424.890659848787,0
39,37535.748253834434,487,0.3709410081577652,9857.117372469373,0
61,54056.85238669758,359,0.90194019674915,3759.2855660391833,0
42,49246.42835826294,618,0.8066935196947392,21306.590509250233,0
66,46415.77929700386,510,0.9848584027624758,13360.882368286515,0
44,36386.545069376036,705,0.7542482596820808,13307.530178538513,0
59,41348.43004147501,408,0.39319520102792227,22480.5111671278,0
45,61330.86838738634,375,0.5906378339946378,12620.056988068161,0
33,57513.75781436571,841,0.6610142542473203,10797.645321570346,0
32,35336.67132802174,613,0.07845581631712395,13876.271897425077,0
64,51489.98458143839,416,0.5444969591038651,9336.654740615519,0
68,61270.80685057683,318,0.7093208284726096,16721.77884643978,0
61,24958.920783179423,731,0.16732130400106038,13131.689608679148,0
69,58150.402885699026,649,0.7806317174255571,12463.642947030938,0
20,40060.643615812296,482,0.5837727805141116,12030.48413989849,0
54,58558.98002889739,412,0.9522217856975946,14468.892530789943,0
68,38551.11265186225,482,0.042422298206891695,15417.405627599255,0
24,22926.768490032213,780,0.26532613755546697,12400.12455796239,0
38,25586.86343175256,445,0.6015538792998241,13206.170319524266,0
26,50721.27419992073,412,0.2965599122059307,14592.385865903256,0
56,53895.83752582223,775,0.7144241640712422,14087.909322302306,0
35,36435.25062343387,602,0.759005282521931,15155.37983437507,0
21,59578.88688166061,417,0.10251596406647445,11616.645983759932,0
42,25077.1990659656,460,0.5138544642067677,20022.96454563245,0
31,49008.80302029025,700,0.5088905555910559,15484.140887047586,0
67,31834.75700356315,497,0.36928077021554107,12480.766235875613,0
26,40222.45838296761,559,0.9329248625696721,16721.921086892675,0
43,50710.98006974621,346,0.8275063198732212,14628.157005906427,0
19,37093.799520740715,698,0.6972093819096368,6330.868227581659,0
37,44231.66683655262,377,0.7143266357349976,16704.76345110813,0
45,65094.39213821661,423,0.4617161438131191,9902.468988079065,0
64,41346.62195715277,374,0.9209945210965759,19672.13891615654,0
24,62535.38168097712,436,0.6945954272532854,13791.251805532766,0
61,33054.397180135726,699,0.7289810616558164,18900.35148695532,0
25,57947.06266872924,804,0.8616909037873453,11848.907234011964,0
64,71623.5293098685,799,0.274071589342191,15349.646335703199,1
52,12925.332498090662,437,0.807070903866703,21051.217502534382,0
31,38046.57116794285,349,0.19524060295649204,13654.917267925886,0
34,58656.081907708096,553,0.34534195224488784,12045.914506320976,0
53,46954.31920935511,725,0.3356104542698427,18275.203068908948,1
67,55567.188100569634,846,0.9785254683891406,18178.307983754803,0
57,40940.22219926269,601,0.8565372237479268,12256.254332925906,0
21,51298.8468120935,648,0.7011698615902597,5072.694897911189,0
19,47664.84146911881,348,0.7270567616153901,11949.88511250822,0
23,67516.73092489711,373,0.5620727944025711,18386.79760843211,0
59,53816.31264951819,560,0.9470906671085191,11124.82905288138,0
21,55064.039931128034,655,0.49625875288236154,14945.310814919023,0
46,43821.84550816299,559,0.3805177098698945,11712.57531016828,0
35,42685.906638912595,594,0.163035336931591,5339.164187369752,0
43,43511.627182705684,612,0.786205652261058,11622.59411480036,0
61,55916.78213567445,481,0.7344439320755914,18365.66010344856,0
51,43685.232787696055,663,0.3843550385241349,3148.737599670938,1
27,54346.62285344619,487,0.02519341395922936,16260.836752377878,0
53,81131.01197968159,842,0.8389973277180107,9069.653843002934,0
31,63066.87055147538,847,0.011417983454073632,18042.21034737096,1
48,45109.647017482384,707,0.703699779629051,18571.594679368267,0
65,68018.20883245918,713,0.970257109726057,14140.26032544362,0
32,43878.86940467673,641,0.43766132814820347,14151.65920609389,0
25,19428.13197233219,519,0.23497340499595276,10968.186514318493,0
31,34878.70533623894,462,0.7048710100433817,8272.08299947517,0
40,21938.121184612166,519,0.8171281420155851,23490.464531668666,0
57,44727.297739380374,569,0.5464303160778473,10674.64286414436,0
38,50276.27568784328,699,0.9670352752561462,22838.980655982363,0
33,75146.55968412924,481,0.0516687216579611,10702.499800999116,0
62,54903.910606462436,504,0.5047955983045281,17625.951951688643,0
35,46713.49206786704,527,0.7184539473225501,9310.964201731826,0
64,62441.083717752335,549,0.862640471149179,17616.975084510075,0
41,16832.970364881723,740,0.17925561190779005,13372.063214234391,0
43,53534.21837162849,832,0.8000034817636814,13437.419196621648,0
42,61562.9779083045,495,0.5527070757185453,18050.11584892225,0
62,27821.206313302377,818,0.3965536819899632,12654.29317460451,0
